building,code,description,title,days,credits,time,instructor,department,school,collegeId
TBA,E81 CSE 505N," Introduction to design methods for digital logic and fundamentals of computer architecture. Students learn to use hardware description languages and computer-aided design tools (simulation, circuit synthesis) and apply them to the design of a variety of digital circuits. Coverage includes both combinational and sequential circuits, ranging in complexity from basic arithmetic circuits to a simple processor. Students learn about the underlying causes of circuit delays and timing issues in sequential circuits (setup and hold times, minimum clock period analysis, metastability). They also study how logic minimization is done, learn to make basic design trade-offs (complexity vs. performance), and how look ahead techniques can be used to speed circuit operation. Coverage also includes the operation of a programmable processor, common methods for enhancing processor performance and the design of memory systems. Prerequisites: CSE 131",Introduction to Digital Logic and Computer Design,M-W----,3,2:30P-4:00P,Richard,,school of engineering ,1
TBA,E81 CSE 511A," The discipline of artificial intelligence (AI) is concerned with building systems that think and act like humans or rationally on some absolute scale. This course is an introduction to the field, with special emphasis on sound modern methods. The topics include knowledge representation, problem solving via search, game playing, logical and probabilistic reasoning, planning, dynamic programming, and reinforcement learning. Programming exercises concretize the key methods. The course targets graduate students and advanced undergraduates. Evaluation is based on written and programming assignments, a midterm exam and a final exam. Prerequisites: CSE 347, ESE 326, Math 233",Introduction to Artificial Intelligence,M-W----,3,4:00P-5:30P,Garnett,,school of engineering ,1
TBA,E81 CSE 514A," With the vast advancement in science and technology, data acquisition in large quantities are routinely done in many fields. Examples of large data include various types of data on the internet, high-throughput sequencing data in biology and medicine, extraterrestrial data from telescopes in astronomy, and images from surveillance camera in security. Mining a large amount of data through data mining has become an effective means to extracting knowledge from data. This course introduces the basic concepts and methods for data mining and provides hands-on experience for processing, analyzing and modeling structured and unstructured data. Homework problems, examines and programming assignments will be administrated throughout the course to enhance the learning. Prerequisites: CSE 247 and ESE 326 (or Math 320) or their equivalent, or permission of the instructor.",Data Mining,-T-R---,3,11:30A-1:00P,"Zhang, Weixiong",,school of engineering ,1
TBA,E81 CSE 520S," This course covers software systems and network technologies for real-time applications such as automobiles, avionics, industrial automation and Internet of Things. Topics include real-time scheduling, real-time operating systems and middleware, Quality of Service, industrial networks and real-time cloud computing. Prerequisite: CSE 422S",Real-Time Systems,M-W----,3,1:00P-2:30P,Lu,,school of engineering ,1
Urbauer / 218,E81 CSE 523S," This course examines the intersection between computer design and information security. While performance and efficiency in digital systems have improved markedly in recent decades, computer security has worsened overall in this time frame. To understand why, we will explore the role that design choices play in the security characteristics of modern computer and network systems. Students will use and write software to illustrate mastery of the material. Projects will include identifying security vulnerabilities, exploiting vulnerabilities, and detecting and defending against exploits. Prerequisites: CSE 361S or permission of instructor.",Systems Security,M-W----,3,1:00P-2:30P,[TBA],,school of engineering ,1
TBA,E81 CSE 530S," A study of data models and the database management systems that support these data models. The design theory for databases is developed and various tools are utilized to apply the theory. General query languages are studied and techniques for query optimization are investigated. Integrity and security requirements are studied in the context of concurrent operations on a database, where the database may be distributed over one or more locations. The unique requirements for engineering design databases, image databases, and long transaction systems are analyzed. Prerequisite: CSE 247.",Database Management Systems,-T-R---,3,1:00P-2:30P,Miller,,school of engineering ,1
TBA,E81 CSE 543T," The course will provide an in-depth coverage of modern algorithms for the numerical solution of multidimensional optimization problems. Unconstrained optimization techniques including Gradient methods, Newton's methods, Quasi-Newton methods, and conjugate methods will be introduced. The emphasis is on constrained optimization techniques: Lagrange theory, Lagrangian methods, penalty methods, sequential quadratic programming, primal-dual methods, duality theory, nondifferentiable dual methods, and decomposition methods. The course will also discuss applications in engineering systems and use of state-of-the-art computer codes. Special topics may include large-scale systems, parallel optimization, and convex optimization. Prerequisites: Calculus I and Math 309",Algorithms for Nonlinear Optimization,-T-R---,3,4:00P-5:30P,Chen,,school of engineering ,1
TBA,E81 CSE 546T," Computational geometry is the algorithmic study of problems that involve geometric shapes such as points, lines, and polygons. Such problems appear in computer graphics, vision, robotics, animation, visualization, molecular biology, and geographic information systems. This course covers data structures that are unique to geometric computing, such as convex hull, Voronoi diagram, Delaunay triangulation, arrangement, range searching, KD-trees, and segment trees. Also covered are algorithms for polygon triangulation, shortest paths, the post office problem, and the art gallery problem. Prerequisite: CSE 247.",Computational Geometry,-T-R---,3,2:30P-4:00P,Ju,,school of engineering ,1
TBA,E81 CSE 556A," An introduction to user centered design processes. The course covers a variety of HCI techniques for use at different stages in the software development cycle, including techniques that can be used with and without users. Students will gain experience using these techniques through in-class exercises and then apply them in greater depth through a semester long interface development project. Students who enroll in this course are expected to be comfortable with building user interfaces in at least one framework and be willing to learn whatever framework is most appropriate for their project. Over the course of the semester, students will be expected to present their interface evaluation results through written reports and in class presentations. Prerequisites:3xxS or 4xxS",Human-Computer Interaction Methods,-T-R---,3,10:00A-11:30A,Kelleher,,school of engineering ,1
TBA,E81 CSE 560M," An exploration of the central issues in computer architecture: instruction set design, addressing and register set design, control unit design, microprogramming, memory hierarchies (cache and main memories, mass storage, virtual memory), pipelining, and bus organization. The course emphasizes understanding the performance implications of design choices, using architecture modeling and evaluation using VHDL and/or instruction set simulation. Prerequisites: CSE 361S and CSE 260M.",Computer Systems Architecture I,M-W----,3,2:30P-4:00P,Chamberlain,,school of engineering ,1
TBA,E81 CSE 567M," This course will allow you to analyze your data correctly. If you want to compare your new algorithm, system, or product with others, a number of questions arise. What is the right metric to compare the systems? How do you organize the experiments so that you can get maximum information with minimum number of experiments? How do you present the results in graphs? If using simulations to analyze and generate data, what are the common mistakes to avoid? How do you develop a correct statistical model of the data? These and other similar issues are covered in this course. You will be encouraged to apply the techniques to your own research. Prerequisites: CSE 131 and CSE 260M.",Computer Systems Analysis,-T-R---,3,1:00P-2:30P,Jain,,school of engineering ,1
McKinley Scott / 4001B,E81 CSE 587A," This course is a survey of algorithms and mathematical methods in biological sequence analysis (with a strong emphasis on probabilistic methods) and systems biology. Sequence analysis topics include introduction to probability, probabilistic inference in missing data problems, hidden Markov models (HMMs), profile HMMs, sequence alignment, and identification of transcription-factor binding sites. Systems biology topics include discovery of gene regulatory networks, quantitative modeling of gene regulatory networks, synthetic biology, and (in some years) quantitative modeling of metabolism. Prereqs: CSE131 or CSE501N.",Algorithms for Computational Biology,M-W-F--,3,2:50P-4:10P,Brent,,school of engineering ,1
TBA,E81 CSE 598," Students electing the project option for their master's degree perform their project work under this course. Prerequisite: permission of adviser.",Masters Project,TBA,0,,Guerin,,school of engineering ,1
TBA,E81 CSE 599," Prerequisite: permission of adviser.",Masters Research,TBA,0,,Guerin,,school of engineering ,1
TBA,E81 CSE 699,"",Doctoral Research,TBA,0,,Guerin,,school of engineering ,1
TBA,E81 CSE 884,"",Doctoral Continuing Student Status,TBA,0,,Laudel,,school of engineering ,1
TBA,E44 EECE 101," Key technical issues that face our society and some of the emerging technologies that hold promise for the future are examined and discussed. Relationship to chemical engineering principles is emphasized. (Prior to FL2015, this course was numbered: E63 146A.)","Introduction to Energy, Environmental and Chemical Engineering",-T-R---,3,2:30P-4:00P,"Turner, Giammar",,school of engineering ,1
TBA,E44 EECE 201," Introduction to the use of mathematics and methods of engineering in analysis of chemical and physical processes. Use of conservation balances and basic rate laws to describe processes with and without chemical reaction in both transient and steady state conditions. Prerequisites: Chem 112A, Math 233. Corequisites: EECE 203, Math 217. (Prior to FL2015, this course was numbered: E63 351.)",Engineering Analysis of Chemical Systems,-T-R---,3,2:30P-4:00P,"Biswas, Zhang",,school of engineering ,1
TBA,E44 EECE 203," Classical thermodynamics. First and second laws, properties of pure substances, mixtures, and solutions. Phase equilibria, chemical reaction equilibria. Prerequisites: Chem 111A, Math 132, Physics 117A. (Prior to FL2015, this course was numbered: E63 320.)",Thermodynamics I in EECE,-T-R---,3,8:30A-10:00A,Williams,,school of engineering ,1
TBA,E44 EECE 301," Engineering principles involved in the exchange of heat and matter in chemical processes. Laws governing the flow of liquids and gases in laboratory and plant equipment. Prerequisites: EECE 202, EECE 203, Math 217, ESE 318, or permission of instructor. (Prior to FL2015, this course was numbered: E63 367.)",Transport Phenomena I: Basics and Fluid Mechanics,-T-R---,3,1:00P-2:30P,Chakrabarty,,school of engineering ,1
TBA,E44 EECE 302," Engineering principles involved in the exchange of heat and matter in chemical processes. Laws governing the flow of liquids and gases in laboratory and plant equipment. Prerequisite: EECE 301 (Prior to FL2015, this course was numbered: E63 368.)",Transport Phenomena II: Mass Transfer,-T-R---,3,8:30A-10:00A,Ramachandran,,school of engineering ,1
TBA,E44 EECE 305," Introduces the chemistry and physics of engineering materials. Emphasis on atomic and molecular interpretation of physical and chemical properties, the relationships between physical and chemical properties, and performance of an engineering material. Prerequisite: Math 217, Chem 111A. (Prior to FL2015, this course was numbered: E63 325.)",Materials Science,M-W-F--,3,1:00P-2:00P,Gleaves,,school of engineering ,1
TBA,E44 EECE 311," Strategies and methods for waste minimization and pollutant emission reduction. Principles of green engineering. Environmental transport and fate modeling. Design of heat and mass exchange networks for energy and waste reduction. Prerequisite: EECE 203 or permission of instructor. (Prior to FL2015, this course was numbered: E63 345.)",Green Engineering,M-W----,3,2:30P-4:00P,Turner,,school of engineering ,1
TBA,E44 EECE 401," A state-of-the-art industrial virtual plant is used for the development of dynamic simulations, selection of instrumentation, statistical analysis of variability, and implementation of process control to improve process operation and efficiency. Prerequisite: Math 217 and EECE 201 (Prior to FL2015, this course was numbered: E63 462.)",Chemical Process Dynamics and Control,M-W-F--,3,9:00A-10:00A,Tang,,school of engineering ,1
TBA,E44 EECE 403," Introduction to chemical reaction engineering principles and applications in process and product development. Evaluation of reaction rates from mechanisms and experimental data, quantification of pertinent transport effects and application to reactor and product design. Prerequisites: EECE 201, 203, 204, 301. (Prior to FL2015, this course was numbered: E63 471.)",Chemical Reaction Engineering,-T-R---,3,11:30A-1:00P,Dudukovic,,school of engineering ,1
TBA,E44 EECE 405," Laboratory experiments designed to illustrate the principles of transport (heat, mass and momentum), thermodynamics, kinetics and reaction engineering, and separations that apply to chemical and biological systems. Experiments include traditional chemical engineering unit operations and emerging areas such as biotechnology, bioenergy and materials. One laboratory period and one workshop are alternating once a week. Lecture session(s) on process engineering components and process safety are scheduled every week. Prerequisites: EECE 301, 304. Co-requisite: EECE 403. (Prior to FL2015, this course was numbered: E63 473A.)",Unit Operations Laboratory,--W----,4,12:00P-1:00P,"Foston, Brennan",,school of engineering ,1
TBA,E44 EECE 411," This course will provide undergraduate students with an international experience related to energy, environmental and/or chemical engineering. The country visited will vary from year to year with one or more EECE faculty members developing the program in collaboration with McDonnell Global Energy and Environment Partnership (MAGEEP) universities. Example activities include conducting field or laboratory research, attending short courses taught by MAGEEP university faculty members, and visiting attractions relevant to the course focus (e.g., industrial facilities). Students will also gain an understanding of the local culture and history of the country visited. Course content will include a seminar series in the spring semester prior to the international experience, a two-to-three week visit to the location of study, and a follow-up student project and presentations during the fall semester which draws upon the experience. Students will enroll in EECE 411 for the fall semester following the trip. (Prior to FL2015, this course was numbered: E33 401.)",International Experience in EECE,TBA,3,,Ehrhard,,school of engineering ,1
TBA,E44 EECE 412," The Sustainability Exchange will bring together students working in trans-disciplinary teams to tackle real-world energy, environmental, and sustainability problems through an experiential form of education. Students will participate in projects with clients and partners on- or off-campus, developed with and guided by faculty advisors drawn from across the University, with the intention of delivering an applicable end-product that explores ""wicked"" problems requiring innovative methods and solutions. These projects matter to the client or partner. The team-based project will be complimented by a seminar that will explore the relevant skills, problem solving strategies, and content to addressing complex, non-linear challenges and contemporary topics in energy, environment, and sustainability. Students will draw on these topics to influence their projects. This course is open to all undergraduate juniors and seniors.",Sustainability Exchange: Community and University Practicums,-T-R---,3,2:30P-4:00P,"Lowry, Ehrhard, Valko, Krummenacher, Roth",,school of engineering ,1
TBA,E44 EECE 413," This course takes a thermodynamics perspective to analyzing electricity production and distribution systems, which are imperative to modern society. The course contains a hands-on laboratory component. Traditional and advanced heat engine cycles will be discussed. Opportunities and challenges with renewable energy technologies will be covered. Essential to the widespread adoption of renewable electricity sources, and also to increasing energy efficiency, is smart grid and smart building technologies. The goal is to give the student a quantitative overview, while focusing in on the details of a few important technological examples. Pre-requisites: E63 ChE 320 or E44 EECE 203 or E37 MEMS 301 and E63 ChE 367 or E44 EECE 301 or E37 MEMS 3410; or instructor permission.",Energy Conversion and Storage,M-W-F--,3,10:00A-11:00A,Ramani,,school of engineering ,1
Brauer Hall / 3011,E44 EECE 425," Laboratory experiments to illustrate the application of engineering fundamentals to environmental systems. Applications of experimental design and data analysis principles. Introduction to relevant analytical instrumentation and laboratory techniques. Laboratory work supported by theoretical analysis and modeling as appropriate. Prerequisite: Consent of instructor. (Prior to FL2015, this course was numbered: E63 408A/508A.)",Environmental Engineering Laboratory,--W----,3,4:00P-7:00P,Giammar,,school of engineering ,1
TBA,E44 EECE 501," The aim of the course is for students to develop skills in applying principles of momentum, heat and mass transport in an unified manner to problems encountered in the areas of energy, environmental and chemical processes. A systems approach will be followed so that the general principles can be grasped and the skills to develop mathematical models of seemingly different processes will be emphasized. This provides the students with a general tool which they can apply later in their chosen field of research. (Prior to FL2015, this course was numbered: E33 501.)",Transport Phenomena in EECE,M-W----,3,1:00P-2:30P,Ramachandran,,school of engineering ,1
TBA,E44 EECE 502," The objective of this course is to understand classical thermodynamics at a deeper level then is reached during typical undergraduate work. Emphasis will be placed on solving problems relevant to chemical engineering materials science. Prerequisite: E63 ChE 320 or E44 203 or equivalent. (Prior to FL2015, this course was numbered: E33 511.)",Advanced Thermodynamics in EECE,M-W-F--,3,10:00A-11:00A,Thimsen,,school of engineering ,1
TBA,E44 EECE 503," The course will introduce students to mathematical principles essential for graduate study in any engineering discipline. Applied mathematical concepts will be demonstrated by applications to various areas in energy, environmental, biomedical, chemical, mechanical, aerospace, electrical and civil engineering. (Prior to FL2015, this course was numbered: E33 502.)",Mathematical Methods in EECE,-T-R---,3,4:00P-5:30P,Brennan,,school of engineering ,1
TBA,E44 EECE 504," Fundamental properties of particulate systems - physics of aerosols, size distributions, mechanics and transport of particles: diffusion, inertia, external force fields. Visibility and light scattering. Aerosol dynamics - coagulation, nucleation, condensation. Applications to engineered systems: Nanoparticle synthesis, atmospheric aerosols, combustion aerosols, pharmaceutical aerosols. Prerequisites: EECE 301, ESE 318 and 319. (Prior to FL2015, this course was numbered: E63 518.)",Aerosol Science and Technology,-T-R---,3,10:00A-11:30A,Biswas,,school of engineering ,1
TBA,E44 EECE 505," Aquatic chemistry governs aspects of the biogeochemical cycling of trace metals and nutrients, contaminant fate and transport, and the performance of water and wastewater treatment processes. This course examines chemical reactions relevant to natural and engineered aquatic systems. A quantitative approach emphasizes the solution of chemical equilibrium and kinetics problems. Topics covered include chemical equilibrium and kinetics, acid-base equilibria and alkalinity, dissolution and precipitation of solids, complexation of metals, oxidation-reduction processes, and reactions on solid surfaces. A primary objective of the course is to be able to formulate and solve chemical equilibrium problems for complex environmental systems. In addition to solving problems manually to develop chemical intuition regarding aquatic systems, software applications for solving chemical equilibrium problems are also introduced. Prerequisites: Chem 112A (Prior to FL2015, this course was numbered: E33 443/543.)",Aquatic Chemistry,M-W----,3,2:30P-4:00P,Jun,,school of engineering ,1
TBA,E44 EECE 508," First year doctoral students in EECE should undertake research rotation as a requirement prior to choosing a permanent research advisor. The rotation will require the student to work under the guidance of a faculty member. (Prior to FL2015, this course was numbered: E33 508.)",Research Rotation,TBA,0,,Jun,,school of engineering ,1
TBA,E44 EECE 512," Introduction to fundamental aspects of combustion phenomena including relevant thermochemistry, fluid mechanics, and transport processes. Emphasis is on elucidation of the physico-chemical processes, problem formulation, and analytical techniques. Topics covered include ignition, extinction, diffusion flames, particle combustion, deflagrations, and detonations. Prerequisites: Graduate standing or permission of instructor. (Prior to FL2015, this course was numbered: E33 5404.)",Combustion Phenomena,M-W----,3,2:30P-4:00P,Axelbaum,,school of engineering ,1
TBA,E44 EECE 531," Fundamental, physical-chemical examination of organic molecules (focused on anthropogenic pollutants) in aquatic (environmental) systems. Students learn to calculate and predict chemical properties that are influencing the partitioning of organic chemicals within air, water, sediments and biological systems. This knowledge will be based on understanding intermolecular interactions and thermodynamic principles. Mechanisms of important thermochemical, hydrolytic, redox, and biochemical transformation reactions are also investigated, leading to the development of techniques (such as structure-reactivity relationships) for assessing environmental fate or human exposure potential. Prerequisite: Chem 112A. (Prior to FL2015, this course was numbered: E33 548/548.)",Environmental Organic Chemistry,M-W----,3,5:30P-7:00P,Fortner,,school of engineering ,1
TBA,E44 EECE 551," Synthetic Biology is a transformative view of biology from ""observation approach"" to ""synthesis approach."" It is new ""engineering"" discipline and aims to make the engineering of new biological function predictable, safe, and quick. It will pave a wide range of applications to transform our views on production of sustainable energy and renewable chemicals, environmental problems, and human disease treatments. The field intersects with Metabolic Engineering in areas such as the design of novel pathways and genetic circuits for product generation and toxic chemical degradation. In this course, the field and its basis are introduced. First, relevant topics in biology, chemistry, physics, and engineering are covered. Second, students will participate in brain-storming and discussion on new biology-based systems. Last, students will design and present new synthetic biology systems to solve real-world problems. No prerequisite. Both undergrad and graduate students can take this course.",Metabolic Engineering and Synthetic Biology,-T-R---,3,1:00P-2:30P,Moon,,school of engineering ,1
TBA,E44 EECE 571," Major industrial and environmental catalytic processes. Principal theories of heterogeneous catalysis. Experimental methods and techniques used to develop modern catalytic systems. Examples from the petrochemical industry, automotive exhaust systems and industrial emissions abatement. Prerequisites: Chem 112, 262. (Prior to FL2015, this course was numbered: E63 525.)",Industrial and Environmental Catalysis,M-W-F--,3,10:00A-11:00A,Gleaves,,school of engineering ,1
TBA,E44 EECE 599,"",Masters Research,TBA,0,,Axelbaum,,school of engineering ,1
TBA,E44 EECE 600,"",Doctoral Research,TBA,0,,Axelbaum,,school of engineering ,1
TBA,E60 Engr 120," Student-run course giving hands-on introduction to various engineering disciplines. In-class design projects for each academic area; competition amongst teams for best projects. Prizes awarded. Promotes team skills vital for today's interdisciplinary workplace. Positive social atmosphere and a great opportunity to meet other Engineering students. Information about Engineering Student groups. Fun.",First-Year Engineering Seminar,TBA,1,,Laudel,,school of engineering ,1
TBA,E60 Engr 310," Persistent concerns of grammar and style. Analysis and discussion of clear sentence and paragraph structure and of organization in complete technical documents. Guidelines for effective layout and graphics. Examples and exercises stressing audience analysis, graphic aids, editing, and readability. Videotaped work in oral presentation of technical projects. Writing assignments include descriptions of mechanisms, process instructions, basic proposals, letters and memos, and a long formal report. Prerequisites: Satisfaction of the English composition proficiency requirement of the School and junior standing.",Technical Writing,M-W----,3,11:30A-1:00P,Matteucci,,school of engineering ,1
TBA,E60 Engr 324," This course will introduce students to the fascinating and complex process of bringing new technologies from the concept stage to the market place. The course draws on experiences of successful entrepreneurs and industry professionals to address some of the most important elements of the technology life cycle. Topics include the theory, practice, challenges and opportunities of business strategy development, FDA regulations, product development, finances, sales and marketing, patents and intellectual property protection, team and corporate culture and professional ethics. The course exposes students to the real-world experiences of guest speakers with diverse backgrounds including practicing engineers, entrepreneurs, attorneys, investors, industrial psychologists, team development professionals, career development coaches and other relevant professionals. The course provides fun, thought-provoking and interactive learning throughout the semester, culminating in presentations by student groups at the end of the semester in lieu of a final exam. Student teams each conceive a hypothetical product and develop and present a complete business plan addressing issues covered throughout the course. Students bring remarkable creativity and imagination to the final project, bringing the course to a rousing conclusion. Business, arts and sciences and other non-engineering students are encouraged to join the course and take advantage of the value it offers. Pre-requisites: Junior or Senior standing, or permission of the instructor.",From Concept to Market: The Business of Engineering,---R---,3,5:30P-8:30P,Mell,,school of engineering ,1
TBA,E60 Engr 4501," This course introduces tools and skills required to understand, evaluate, and resolve ethical problems in engineering practice. By studying both historic and hypothetical engineering cases, as well as theory, the student will more fully appreciate a professional's responsibilities in applying emerging technologies to modern challenges. Special attention will be given to sustainability in response to global social issues. Students will have opportunities to demonstrate mature decision making skills and to appreciate the importance of lifelong learning about both professional practice and ethical issues.",Engineering Ethics and Sustainability,--W----,1,3:00P-4:00P,Matteucci,,school of engineering ,1
TBA,E60 Engr 4502," Forms of leadership and qualities of effective leaders evaluated through case studies, with opportunities for self-analysis. Teamwork and effective team-building skills in engineering environments, with a focus on multidisciplinary and complex engineering projects.",Engineering Leadership and Team Building,-T-----,1,3:00P-5:00P,Brumbaugh Walter,,school of engineering ,1
TBA,E60 Engr 4503," Learn core competencies that lead to effective conflict management. Discern underlying sources of conflict and approaches to work through it. Develop a plan to handle confrontation as well as strategies that will minimize future conflict. Resolving conflict helps facilitate achieving personal, team, and organizational goals, leading to higher performance levels.",Conflict Management and Negotiation,-T-----,1,12:00P-1:00P,Mittanck,,school of engineering ,1
Whitaker / 130,E35 ESE 101," Matlab and Simulink are important tools in quickly analyzing different designs in many engineering disciplines and are also perhaps the most used software in many engineering schools. Gain skills in the basics of the array-based language Matlab to write programs, including scripts and functions, to calculate and display variables and images. Learn the basics of Simulink to build and simulate models from standard blocks. Discover both Matlab and Simulink in an environment with supervised practice and hands-on experience. Practice problems are chosen from different engineering fields as well as from a few socio-economic fields so that students can see the software being exploited in real life applications. This is a pass/fail course. Prerequisite: Freshman standing",Introduction to Engineering Tools: Matlab and Simulink,--W----,1,4:00P-5:30P,Sutton,,school of engineering ,1
Urbauer / 115,E35 ESE 103," A hands-on introduction to electrical engineering to put the fun into the electrical engineering fundamentals. Experiments are designed to be easy to conduct and understand. Some of the technologies explored are used in a variety of applications including Ultrasound Imaging, Computed Tomography, DC Motors, Analog to Digital Converters and Credit Card Readers. Students work in groups of two in the newly renovated Urbauer 115 laboratory. Each station is equipped with modern electronic test equipment and a computer with an integrated Data Acquisition system. Using this lab equipment, students design and build solutions to the exercises. The students also learn to program in LabVIEW to control the Data Acquisition system and process the acquired signals. Also, throughout the semester, presentations are given by the ESE faculty about their research.",Introduction to Electrical Engineering,M------,1,4:00P-6:00P,Richter,,school of engineering ,1
Urbauer / 208,E35 ESE 141," A hands-on introduction to robotics. Project-oriented course where students build and program a robot guided by upper-division students. Friendly competition at the end of semester. Students will gain electrical lab experience, programming experience, and a guided introduction into the field of robotics. Recommended to freshmen and sophomores. This is a pass/fail course.",Introductory Robotics,----F--,1,3:00P-5:00P,Mukai,,school of engineering ,1
Urbauer / 222,E35 ESE 151," Systems Science and Engineering (SSE) has grown in applicability to many industries. This course will provide an overview of the broad applicability of the analytical methods studied in SSE, as well as introduce many of these analytical methods. Each module of the course will present a domain area (e.g. Energy, Healthcare, etc.) with examples of how one of the SSE analytical methods (e.g. Optimization, Discrete Event Systems, etc.) is used with assistance of one of the many computing tools available for SSE-style projects (e.g. Matlab, SIMUL8, etc.). The course will close with a final, exploratory project and presentation of an analytical method of the students' choosing and how this is applied to an industry of their choosing. (Not open to seniors or graduate students.) Corequisite: Math 132, Physics 117A or 197.",Introduction to Systems Science and Engineering,M-W----,2,2:30P-4:00P,Livengood,,school of engineering ,1
Urbauer / 15,E35 ESE 205," A hands-on course where students, divided in groups of two or three, will creatively solve one problem throughout the semester using tools from electrical and systems engineering. The groups choose their own schedule and work under the supervision of an academic team consisting of faculty and higher-level students. The evaluation considers the completion of objectives set by the students with help of the academic team, as well as the originality, innovation, and impact of the project. Prerequisite Course(s): CSE131, Phy117A or equivalent.",Introduction to Engineering Design,----F--,3,3:00P-4:00P,Feher,,school of engineering ,1
TBA,E35 ESE 230," Electrical energy, current, voltage, and circuit elements. Resistors, Ohm's Law, power and energy, magnetic fields and dc motors. Circuit analysis and Kirchhoff's voltage and current laws. Thevenin and Norton transformations and the superposition theorem. Measuring current, voltage, and power using ammeters and voltmeters. Energy and maximum electrical power transfer. Computer simulations of circuits. Reactive circuits, inductors, capacitors, mutual inductance, electrical transformers, energy storage, and energy conservation. RL, RC and RLC circuit transient responses, biological cell action potentials due to Na and K ions. AC circuits, complex impedance, RMS current and voltage. Electrical signal amplifiers and basic operational amplifier circuits. Inverting, non-inverting, and difference amplifiers. Voltage gain, current gain, input impedance, and output impedance. Weekly laboratory exercises related to the lectures are an essential part of the course. Prerequisites: Phys 118A. Corequisite: Math 217.",Introduction to Electrical and Electronic Circuits,-T-R---,4,1:00P-2:30P,Nussinov,,school of engineering ,1
TBA,E35 ESE 260," Introduction to design methods for digital logic and fundamentals of computer architecture. Students learn to use hardware description languages and computer-aided design tools (simulation, circuit synthesis) and apply them to the design of a variety of digital circuits. Coverage includes both combinational and sequential circuits, ranging in complexity from basic arithmetic circuits to a simple processor. Students learn about the underlying causes of circuit delays and timing issues in sequential circuits (setup and hold times, minimum clock period analysis, metastability). They also study how logic minimization is done, learn to make basic design trade-offs (complexity vs. performance), and how look ahead techniques can be used to speed circuit operation. Coverage also includes the operation of a programmable processor, common methods for enhancing processor performance and the design of memory systems. Prerequisites: CSE 131",Introduction to Digital Logic and Computer Design,M-W----,3,2:30P-4:00P,Richard,,school of engineering ,1
TBA,E35 ESE 318," Laplace transforms; matrix algebra; vector spaces; eigenvalues and eigenvectors; vector differential calculus and vector integral calculus in three dimensions. Prerequisites: Math 233 and Math 217 or their equivalents.",Engineering Mathematics A,-T-R---,3,10:00A-11:30A,Hoven,,school of engineering ,1
TBA,E35 ESE 319," Power series and Frobenius series solutions of differential equations; Legendre's equation; Bessel's equation; Fourier series and Fourier transforms; Sturm-Liouville theory; solutions of partial differential equations; wave and heat equations. Prerequisites: Math 233 and Math 217 or their equivalents.",Engineering Mathematics B,M-W-F--,3,10:00A-11:00A,Hasting,,school of engineering ,1
TBA,E35 ESE 326," Study of probability and statistics together with engineering applications. Probability and statistics: random variables, distribution functions, density functions, expectations, means, variances, combinatorial probability, geometric probability, normal random variables, joint distribution, independence, correlation, conditional probability, Bayes theorem, the law of large numbers, the central limit theorem. Applications: reliability, quality control, acceptance sampling, linear regression, design and analysis of experiments, estimation, hypothesis testing. Examples are taken from engineering applications. Prerequisites: Math 233 or equivalent.",Probability and Statistics for Engineering,-T-R---,3,10:00A-11:30A,Feher,,school of engineering ,1
TBA,E35 ESE 330," Electromagnetic theory as applied to electrical engineering: vector calculus; electrostatics and magnetostatics; Maxwell's equations, including Poynting's theorem and boundary conditions; uniform plane-wave propagation; transmission lines, TEM modes, including treatment of general lossless lines, and pulse propagation; introduction to guided waves; introduction to radiation and scattering concepts. Prerequisites: Physics 118A and ESE 318 En Math A. Co-requisite: ESE 319 En Math B.",Engineering Electromagnetics Principles,M-W----,3,10:00A-11:30A,Lew,,school of engineering ,1
TBA,E35 ESE 351," Introduction to concepts and methodology of linear dynamic systems in relation to discrete- and continuous-time signals. Mathematical modeling. Representation of systems and signals. Fourier, Laplace, and Z-transforms and convolution. Input-output description of linear systems: impulse response, transfer function. Time-domain and frequency-domain system analysis: transient and steady-state responses, system modes, stability, frequency spectra and frequency responses. System design: filter, modulation, sampling theorem. Continuity is emphasized from analysis to synthesis. Use of Matlab. Prerequisites: Physics 117A-118A, Math 217, CSE 131, matrix addition and multiplication; Corequisite: ESE 318.",Signals and Systems,-T-R---,3,2:30P-4:00P,Hoven,,school of engineering ,1
TBA,E35 ESE 403," Introduction to the mathematical aspects of various areas of operations research, with additional emphasis on problem formulation. This is a course of broad scope, emphasizing both the fundamental mathematical concepts involved, and also aspects of the translation of real-world problems to an appropriate mathematical model. Subjects to be covered include linear and integer programming, network problems, and dynamic programming. Prerequisites: CSE 131, Math 309, and ESE 326, or permission of instructor.",Operations Research,M-W----,3,11:30A-1:00P,Feinstein,,school of engineering ,1
TBA,E35 ESE 405," An integrated analysis of reliability and quality control function in manufacturing. Statistical process control, acceptance sampling, process capability analysis, reliability prediction, design, testing, failure analysis and prevention, maintainability, availability, and safety are discussed and related. Qualitative and quantitative aspects of statistical quality control and reliability are introduced in the context of manufacturing. Prerequisite: ESE 326 or equivalent.",Reliability and Quality Control,M-W----,3,1:00P-2:30P,Min,,school of engineering ,1
